,Feature,Importance
331,MÉDIA DE PERMANÊNCIA_4-5,0.06530398361007585
266,TEMPO CIRURGIA A ALTA_2-3,0.05760182441733362
0,IDADE,0.042426435823580626
332,MÉDIA DE PERMANÊNCIA_6-7,0.041650173891011964
267,TEMPO CIRURGIA A ALTA_4-5,0.03672032893159329
333,MÉDIA DE PERMANÊNCIA_8-9,0.02819022659316456
248,TEMPO ATÉ CIRURGIA_2-3,0.025540328497204695
247,TEMPO ATÉ CIRURGIA_0-1,0.01874929487967944
927,COMORBIDADES_NEGA,0.014587021689007695
31,CIRURGIA_DHS E,0.013643089763069478
4,Alzheimer,0.012480555625592854
9,IRC,0.012141274883685405
1,HAS,0.010240444978401325
1073,INFECÇÃO FO_N,0.010058848100213916
61,TEMPO TRAUMA/PORTA_2-3,0.009753135582604683
2,DM,0.009207515352732705
338,MÉDIA DE PERMANÊNCIA_18-19,0.009167128856296884
273,TEMPO CIRURGIA A ALTA_16-17,0.009071171236982702
270,TEMPO CIRURGIA A ALTA_10-11,0.008678479371085526
268,TEMPO CIRURGIA A ALTA_6-7,0.008493281509288525
64,TEMPO TRAUMA/PORTA_8-9,0.008318699148408727
1702,sexo_F,0.008032194521901834
1703,sexo_M,0.007983418916310638
63,TEMPO TRAUMA/PORTA_6-7,0.0077819402177853984
46,CIRURGIA_PTQ D,0.007462114723788089
65,TEMPO TRAUMA/PORTA_10-11,0.007329674192690993
62,TEMPO TRAUMA/PORTA_4-5,0.007017624031821529
5,Tabagismo,0.00683676494846869
700,COMORBIDADES_HAS/DM,0.0067754527160800585
334,MÉDIA DE PERMANÊNCIA_10-11,0.006722342583103834
48,CIRURGIA_PTQ E,0.006607833253176707
17,Hipotireoidismo,0.006553877010369072
271,TEMPO CIRURGIA A ALTA_12-13,0.006485692278030296
29,CIRURGIA_DHS D,0.006177225034596414
1274,prontuario_BOA EVOLUÇÃO AMBULATORIAL,0.006112732010975254
249,TEMPO ATÉ CIRURGIA_4-5,0.005999843052176228
250,TEMPO ATÉ CIRURGIA_6-7,0.005817871921820333
3,ICC,0.00567118398799552
335,MÉDIA DE PERMANÊNCIA_12-13,0.0055981653126670585
11,AVC,0.005034165481374931
13,Doença Aterosclerótica do Coração ,0.004923019270085679
341,MÉDIA DE PERMANÊNCIA_24-25,0.004919029753796781
276,TEMPO CIRURGIA A ALTA_22-23,0.004892841784183695
337,MÉDIA DE PERMANÊNCIA_16-17,0.004884120389867422
336,MÉDIA DE PERMANÊNCIA_14-15,0.004813919031981716
265,TEMPO CIRURGIA A ALTA_0-1,0.004787114348458478
339,MÉDIA DE PERMANÊNCIA_20-21,0.004749312081351181
588,COMORBIDADES_HAS,0.00453918354008018
1043,MÊS_mai.-23,0.0044490895576438086
26,IDADE_FAIXA_56-62,0.004060379403281375
1042,MÊS_mai.-22,0.004033977027828739
340,MÉDIA DE PERMANÊNCIA_22-23,0.0038190411251444057
275,TEMPO CIRURGIA A ALTA_20-21,0.0037215553854295464
269,TEMPO CIRURGIA A ALTA_8-9,0.0035657918118270865
1037,MÊS_jun.-22,0.0035114904815219173
66,TEMPO TRAUMA/PORTA_12-13,0.003482077440818078
6,Etilismo,0.003476428891996877
21,Epilepsia ou Parkinson,0.0034571920117149445
330,MÉDIA DE PERMANÊNCIA_2-3,0.0033557945221411537
20,Limitação do Movimento,0.0032716974583221255
1059,MÊS_out.-20,0.0032381638265052875
27,IDADE_FAIXA_62+,0.0032357749426922887
1003,MÊS_abr.-23,0.0032179362784284355
1033,MÊS_jul.-23,0.0032153039993241183
14,Arritmia,0.002965557785486278
1554,prontuario_RETORNO AMBULATORIAL OK,0.0028475955848807745
251,TEMPO ATÉ CIRURGIA_8-9,0.0028154458827749323
1025,MÊS_jan.-22,0.0028128332812259404
1031,MÊS_jul.-21,0.0028032833616810694
18,Depressão/Ansiedade,0.0027017725725038706
272,TEMPO CIRURGIA A ALTA_14-15,0.0026473416964200693
1050,MÊS_mar.-24,0.002645759915188052
1013,MÊS_dez.-21,0.002621582528370746
991,MÊS_JUNHO,0.0026138826380383974
990,MÊS_JULHO,0.0025840632003960905
1036,MÊS_jun.-21,0.002530743331156957
1049,MÊS_mar.-23,0.0024671658441427205
985,MÊS_DEZEMBRO,0.0024201048067847867
1287,prontuario_BOA EVOLUÇÃO AMBULATÓRIO,0.0024113434828906223
7,Dislipidemia,0.002407934926660014
30,CIRURGIA_DHS D ,0.0023808092754848864
1001,MÊS_abr.-21,0.0023697474335254804
1017,MÊS_fev.-20,0.0023486261869109268
1062,MÊS_out.-23,0.002346117335953759
12,DPOC,0.002343311869224255
1021,MÊS_fev.-24,0.0023430366016127246
1002,MÊS_abr.-22,0.002323520732127151
1041,MÊS_mai.-21,0.0023117937120245317
252,TEMPO ATÉ CIRURGIA_10-11,0.002290249433449446
397,COMORBIDADES_ALZHEIMER,0.002265622361762942
1018,MÊS_fev.-21,0.002218969229846057
1008,MÊS_ago.-22,0.0022127079194861512
256,TEMPO ATÉ CIRURGIA_18-19,0.0022039455332697805
60,TEMPO TRAUMA/PORTA_0-1,0.0021945254211416347
67,TEMPO TRAUMA/PORTA_14-15,0.0020622191823218023
1064,MÊS_set.-20,0.002022956021665807
1029,MÊS_jul.-19,0.002009030813716025
617,COMORBIDADES_HAS/ALZHEIMER,0.001953676989122616
1055,MÊS_nov.-22,0.0019524437514635879
1030,MÊS_jul.-20,0.0019324544611505005
68,TEMPO TRAUMA/PORTA_16-17,0.0019303285792488098
1014,MÊS_dez.-22,0.0019161728682129573
1035,MÊS_jun.-20,0.0018523362865475706
997,MÊS_OUTUBRO,0.0018100986406959054
1044,MÊS_mai.-24,0.0017788654646770992
993,MÊS_MAIO,0.0017772914099417445
1016,MÊS_fev.-19,0.0017427186366466918
1066,MÊS_set.-22,0.0017040543219768362
274,TEMPO CIRURGIA A ALTA_18-19,0.0017027893274336368
342,MÉDIA DE PERMANÊNCIA_26-27,0.0016787676454101618
16,Tumor/Neoplasia/Meta,0.0016725173323358228
1000,MÊS_abr.-20,0.0016291394917466214
1019,MÊS_fev.-22,0.0016186468662528117
1006,MÊS_ago.-20,0.0016139727771246216
8,Doenças Reumatológicas,0.0015744148786526234
1015,MÊS_dez.-23,0.001566712227870375
1707,queda propria altura_SIM,0.0015459200692521738
1054,MÊS_nov.-21,0.0015028032437833024
998,MÊS_SETEMBRO,0.0015011660268092046
1011,MÊS_dez.-19,0.0014913162217582005
865,COMORBIDADES_HAS/TABAGISMO,0.0014715818022114386
1047,MÊS_mar.-21,0.0014412796802302401
999,MÊS_abr.-19,0.0014114398250619242
1032,MÊS_jul.-22,0.0013990412352747434
681,COMORBIDADES_HAS/DEMENCIA,0.0013936027546418907
704,COMORBIDADES_HAS/DM/ALZHEIMER,0.0013803080918093082
22,"Doenças Oftalmológicas (Glaucoma, catarata)",0.00137905281572003
1058,MÊS_out.-19,0.001365838745416498
253,TEMPO ATÉ CIRURGIA_12-13,0.0013309928388216482
343,MÉDIA DE PERMANÊNCIA_28-29,0.0013260783131213952
501,COMORBIDADES_DM,0.0013063172106154094
1039,MÊS_mai.-19,0.0013016199239413962
1061,MÊS_out.-22,0.0012989190557012634
10,Hepatopatia,0.0012955035670577622
983,MÊS_AGOSTO,0.0012902101888556576
1007,MÊS_ago.-21,0.0012817431431956067
1045,MÊS_mar.-19,0.0012391550961555968
515,COMORBIDADES_DM/HAS,0.0012259977131422032
1060,MÊS_out.-21,0.0011502924221800102
1038,MÊS_jun.-23,0.0011466665241292335
344,MÉDIA DE PERMANÊNCIA_30-31,0.0011369438105820896
1012,MÊS_dez.-20,0.0011353890465108233
1067,MÊS_set.-23,0.0011278738986398443
467,COMORBIDADES_DEMENCIA,0.0011123188653778815
1053,MÊS_nov.-20,0.001106837489633143
1162,prontuario_01 SUSP ITU,0.001098675840695347
70,TEMPO TRAUMA/PORTA_20-21,0.0010604460944560292
988,MÊS_JANEIRO,0.0010426500816281823
19,Doenças do labirinto/ surdez,0.0010213855909417151
1023,MÊS_jan.-20,0.0010172456496161356
254,TEMPO ATÉ CIRURGIA_14-15,0.0009794749135183796
1267,prontuario_BOA EVOLUÇÃO,0.0009776613307466197
1026,MÊS_jan.-23,0.0009641178816022513
1557,prontuario_RETORNO AMBULATORIO OK,0.0009506338425113789
1063,MÊS_set.-19,0.00093124644677037
1046,MÊS_mar.-20,0.0009270383979894586
1048,MÊS_mar.-22,0.0009044438164016777
1005,MÊS_ago.-19,0.000897135867706067
69,TEMPO TRAUMA/PORTA_18-19,0.000882585751924097
1034,MÊS_jun.-19,0.0008824776473950782
1100,prontuario_01 SUSP 13/05 POR ITU,0.0008603224413027281
255,TEMPO ATÉ CIRURGIA_16-17,0.000858345033634455
801,COMORBIDADES_HAS/HIPOTIREOIDISMO,0.0008554759104257534
1056,MÊS_nov.-23,0.0008417506305833785
1009,MÊS_ago.-23,0.0008364130574658307
603,COMORBIDADES_HAS DM OISTEOPOROSE,0.0008325231757650462
52,CIRURGIA_PTQE,0.000822798665847652
612,COMORBIDADES_HAS+DM ,0.0008205036541236975
1004,MÊS_abr.-24,0.0008101289523876269
1010,MÊS_dez.-18,0.0008062516900963782
817,COMORBIDADES_HAS/ICC,0.0008054290519387018
